Course URL LINK,Course Code,Course Name,Offering Institution,Offering Department / Unit,Offering Program,Course Type,Delivery Mode,Duration,COURSE DESCRIPTION,Prompt Engineering Topics Covered,Assessment,Unnamed: 12,Delivery Mode Clean,Course Type Clean,Offering Program Clean,Duration Clean,Duration Value,Duration Unit,Assessment Categories,Normalized Topics,SWEBOK Areas,SWEBOK Scores
https://catalog.mit.edu/subjects/4/#4.044,4.044,Design Studio: Interaction Intelligence,MIT,School of Architecture and Planning â Department of Architecture,Graduate,Degree-Awarding,Face-to-Face (Spring),Units arranged,"Overview of core principles and techniques for the design of interaction, behavior, and intelligence across objects and spaces.",machine intelligence; neural networks; large language models,Series of small interaction exercises; portfolio-level final project.,,Face-to-Face,Degree-Awarding,Graduate,Units arranged,,,"['Exam', 'Project']","['machine intelligence', 'neural networks', 'large language models']",[],{}
https://catalog.mit.edu/subjects/15/#15.773,15.773,Handsâon Deep Learning,MIT,MIT Sloan School of Management,Graduate,Degree-Awarding,Face-to-Face (Spring),Units arranged,"Provides hands-on deep learning experience focusing on neural networks, convolutional networks, recurrent networks, and generative LLMs like ChatGPT.",generative large language models; neural network architectures,Group projects; coding assignments.,,Face-to-Face,Degree-Awarding,Graduate,Units arranged,,,"['Project', 'Lab/Hands-on']","['generative large language models', 'neural network architectures']",['Foundations'],{'Foundations': 0.5}
https://ocw.mit.edu/courses/6-s062-generative-artificial-intelligence-in-k-12-education-fall-2023/,6.S062,Generative Artificial Intelligence in Kâ12 Education,MIT,MIT OpenCourseWare,Undergraduate,Degree-Awarding,Online (Asynchronous),Archived Fall 2023,"Introduces generative AI concepts and tools for creating educational materials through high-level prompts, including text and multimedia generation.",high-level prompt design; text generation; multimedia prompt engineering,"Hands-on assignments designing prompts to generate quizzes, essays, and interactive lessons.",,Online (Asynchronous),Degree-Awarding,Undergraduate,Archived Fall 2023,,,"['Quiz', 'Lab/Hands-on', 'Essay/Report']","['prompt design/fundamentals', 'text generation', 'multimedia prompt engineering']","['Design', 'Construction']","{'Design': 0.3333333333333333, 'Construction': 0.6666666666666666}"
https://mitsloanedtech.mit.edu/ai/basics/effective-prompts/,,Effective Prompts for AI: The Essentials,MIT,MIT Sloan Teaching & Learning Technologies,Self-Paced Course,Self-Paced Online,Online (Asynchronous),Self-paced article,"Introduces prompt engineering fundamentalsâincluding context, specificity, and iterative promptingâacross zero-shot, few-shot, role-based, contextual, and meta-prompt types.",zero-shot prompts; few-shot prompts; role-based prompts; contextual prompts; meta prompts; iterative chaining,None (self-study article).,,Online (Asynchronous),Other,Other,Self-paced article,,,['None/Unspecified'],"['zero-shot', 'few-shot', 'prompt design/fundamentals', 'contextual prompts', 'iterative chaining']","['Models & Methods', 'Design', 'Construction', 'Requirements']","{'Models & Methods': 0.4, 'Design': 0.2, 'Construction': 0.4, 'Requirements': 0.2}"
https://xpro.mit.edu/courses/course-v1%3AxPRO%2BGenAI,,Driving Innovation with Generative AI,MIT,MIT xPRO,Professional Certificate,MOOC/Online Course,Online (4â7 hr/week),6 weeks,"Unlocks generative AI skills using tools like ChatGPT, DALL-E, and Midjourney; covers LLM applications, collaborative agents, CoT workflows, and ethics.",LLM applications; agentic prompting; chain-of-thought prompting; evaluation/debugging frameworks,Simulations; case studies; project-based assessments.,,Online (Synchronous),MOOC,Certificate,6 weeks,6,weeks,"['Project', 'Case Study']","['applications', 'agentic/agents', 'chain-of-thought prompting', 'evaluation/debugging', 'debugging frameworks']","['Design', 'Construction', 'Models & Methods', 'Testing']","{'Design': 0.2, 'Construction': 0.2, 'Models & Methods': 0.2, 'Testing': 0.4}"
https://professionalprograms.mit.edu/online-program-generative-ai/,,Applied Generative AI for Digital Transformation,MIT,MIT Professional Education,Online Course,MOOC/Professional,Online (Asynchronous),8 weeks,"Explores generative AI for business transformation, covering prompt engineering principles, RAG, and agentic AI workflows.",prompt engineering principles; RAG; agentic AI,Certificate of completion; practical assignments.,,Online (Asynchronous),MOOC,Other,8 weeks,8,weeks,"['Lab/Hands-on', 'Certificate Only']","['prompt design/fundamentals', 'retrieval-augmented generation', 'agentic/agents']","['Design', 'Construction']","{'Design': 1.0, 'Construction': 0.3333333333333333}"
https://professionalonline2.mit.edu/no-code-artificial-intelligence-machine-learning-program,,No Code AI and Machine Learning: Building Data Science Solutions,MIT,MIT Professional Education,Professional Certificate,Online Certificate Program,Online (Asynchronous),12 weeks,"Industry-relevant curriculum with modules on generative AI, prompt engineering, agentic AI, and RAG using no-code platforms.",prompt engineering; retrieval-augmented generation; agentic AI,Three industry-relevant portfolio projects.,,Online (Asynchronous),Professional Certificate,Certificate,12 weeks,12,weeks,['Project'],"['prompt engineering', 'retrieval-augmented generation', 'agentic/agents']","['Construction', 'Design']","{'Construction': 0.3333333333333333, 'Design': 0.6666666666666666}"
https://dcai.csail.mit.edu/2023/human-priors/,,Encoding Human Priors: Data Augmentation and Prompt Engineering,MIT,CSAIL,Not-for-Credit IAP,Short-Term Workshop,Face-to-Face (Campus),2 weeks (IAP),"Covers data augmentation techniques and prompt engineering for LLMs, emphasizing context-sensitive prompt design.",prompt engineering; context-sensitive prompt design; data augmentation,Hands-on lab assignments.,,Face-to-Face,Workshop,Other,2 weeks (IAP),2,weeks,['Lab/Hands-on'],"['prompt engineering', 'context-sensitive prompt design', 'data techniques']","['Construction', 'Requirements', 'Design']","{'Construction': 0.6666666666666666, 'Requirements': 0.3333333333333333, 'Design': 0.3333333333333333}"
https://cs329a.stanford.edu,CS 329A,Self-Improving AI Agents,Stanford University,Computer Science Department,Graduate Seminar,Degree-Awarding,"Face-to-Face (Winter, in-person)",3 quarter units,"Covers LLM self-improvement techniques such as constitutional AI, domain-specific verifiers, scaling compute, combining search with LLMs, tool use, retrieval techniques, agentic workflows, multi-step reasoning, and evaluation/orchestration frameworks.",constitutional AI; domain-specific verifiers; scaling test-time compute; combining search with LLMs; tool use; retrieval-augmented techniques; agentic workflows; chain-of-thought reasoning; evaluation frameworks,Original research project; participation and readings.,,Face-to-Face,Degree-Awarding,Graduate,3 quarter units,,,"['Project', 'Participation']","['safety/risk', 'domain-specific verifiers', 'scaling test-time compute', 'combining search with llms', 'agentic/agents', 'retrieval-augmented techniques', 'agentic workflows', 'chain-of-thought', 'evaluation/debugging']","['Engineering Management', 'Quality', 'Professional Practice/Ethics', 'Testing', 'Foundations', 'Design', 'Process', 'Models & Methods']","{'Engineering Management': 0.1111111111111111, 'Quality': 0.1111111111111111, 'Professional Practice/Ethics': 0.1111111111111111, 'Testing': 0.2222222222222222, 'Foundations': 0.1111111111111111, 'Design': 0.3333333333333333, 'Process': 0.1111111111111111, 'Models & Methods': 0.1111111111111111}"
https://uit.stanford.edu/service/techtraining/class/better-ai-prompts-better-results,ITS-1924,Better AI Prompts for Better Results,Stanford University,University IT â Technology Training,Professional Development,University Training Workshop,"Live Online (1 session, Zoom)",3 hours,"Workshop to equip foundational prompt engineering skills with ChatGPT, covering AI overview, clear & specific prompt structure, conditional logic, scenario-based prompts, creative prompt use, ethical considerations, and hands-on exercises.",AI and LLM overview; prompt clarity and specificity; keyword and instruction usage; conditional logic; scenario-based prompt creation; creative content generation; ethical prompting; iterative refinement,Hands-on activities; workshop certificate; Professional Development Units.,,Online (Synchronous),Workshop,Professional Development,3 hours,3,hours,"['Lab/Hands-on', 'Certificate Only']","['ai and llm overview', 'prompt clarity and specificity', 'keyword and instruction usage', 'conditional logic', 'scenario-based prompt creation', 'creative content generation', 'ethical prompting', 'iterative refinement']","['Foundations', 'Construction', 'Professional Practice/Ethics']","{'Foundations': 0.125, 'Construction': 0.375, 'Professional Practice/Ethics': 0.125}"
