
Course Index,SWEBOK Areas,SWEBOK Scores
0,,{}
1,Foundations,"{""Foundations"": 0.5}"
2,Design; Construction,"{""Design"": 0.3333333333333333, ""Construction"": 0.6666666666666666}"
3,Models & Methods; Design; Construction; Requirements,"{""Models & Methods"": 0.4, ""Design"": 0.2, ""Construction"": 0.4, ""Requirements"": 0.2}"
4,Design; Construction; Models & Methods; Testing,"{""Design"": 0.2, ""Construction"": 0.2, ""Models & Methods"": 0.2, ""Testing"": 0.4}"
5,Design; Construction,"{""Design"": 1.0, ""Construction"": 0.3333333333333333}"
6,Construction; Design,"{""Construction"": 0.3333333333333333, ""Design"": 0.6666666666666666}"
7,Construction; Requirements; Design,"{""Construction"": 0.6666666666666666, ""Requirements"": 0.3333333333333333, ""Design"": 0.3333333333333333}"
8,Engineering Management; Quality; Professional Practice/Ethics; Testing; Foundations; Design; Process; Models & Methods,"{""Engineering Management"": 0.1111111111111111, ""Quality"": 0.1111111111111111, ""Professional Practice/Ethics"": 0.1111111111111111, ""Testing"": 0.2222222222222222, ""Foundations"": 0.1111111111111111, ""Design"": 0.3333333333333333, ""Process"": 0.1111111111111111, ""Models & Methods"": 0.1111111111111111}"
9,Foundations; Construction; Professional Practice/Ethics,"{""Foundations"": 0.125, ""Construction"": 0.375, ""Professional Practice/Ethics"": 0.125}"
10,Design; Construction; Requirements; Engineering Management; Quality; Professional Practice/Ethics,"{""Design"": 0.1, ""Construction"": 0.4, ""Requirements"": 0.1, ""Engineering Management"": 0.1, ""Quality"": 0.2, ""Professional Practice/Ethics"": 0.2}"
11,Models & Methods; Construction; Foundations; Economics,"{""Models & Methods"": 0.16666666666666666, ""Construction"": 0.5, ""Foundations"": 0.16666666666666666, ""Economics"": 0.16666666666666666}"
12,Design; Construction; Testing,"{""Design"": 0.14285714285714285, ""Construction"": 0.5714285714285714, ""Testing"": 0.2857142857142857}"
13,Construction; Models & Methods; Configuration Management; Testing; Requirements; Professional Practice/Ethics,"{""Construction"": 0.36363636363636365, ""Models & Methods"": 0.2727272727272727, ""Configuration Management"": 0.09090909090909091, ""Testing"": 0.09090909090909091, ""Requirements"": 0.09090909090909091, ""Professional Practice/Ethics"": 0.09090909090909091}"
14,Requirements; Models & Methods; Construction; Foundations; Engineering Management; Quality; Professional Practice/Ethics,"{""Requirements"": 0.1111111111111111, ""Models & Methods"": 0.2222222222222222, ""Construction"": 0.4444444444444444, ""Foundations"": 0.2222222222222222, ""Engineering Management"": 0.1111111111111111, ""Quality"": 0.1111111111111111, ""Professional Practice/Ethics"": 0.1111111111111111}"
15,Foundations; Construction; Engineering Management; Quality; Professional Practice/Ethics,"{""Foundations"": 0.2222222222222222, ""Construction"": 0.3333333333333333, ""Engineering Management"": 0.1111111111111111, ""Quality"": 0.1111111111111111, ""Professional Practice/Ethics"": 0.1111111111111111}"
16,Construction; Foundations; Testing; Models & Methods; Design,"{""Construction"": 0.8, ""Foundations"": 0.2, ""Testing"": 0.2, ""Models & Methods"": 0.2, ""Design"": 0.2}"
17,Construction; Design,"{""Construction"": 1.0, ""Design"": 0.5}"
18,Construction; Configuration Management,"{""Construction"": 0.6666666666666666, ""Configuration Management"": 0.3333333333333333}"
19,Construction; Models & Methods,"{""Construction"": 0.75, ""Models & Methods"": 0.25}"
20,Design; Construction; Testing,"{""Design"": 0.3333333333333333, ""Construction"": 1.0, ""Testing"": 0.6666666666666666}"
21,Construction; Models & Methods; Requirements,"{""Construction"": 0.25, ""Models & Methods"": 0.375, ""Requirements"": 0.25}"
22,Construction; Design; Process; Testing; Models & Methods,"{""Construction"": 0.2, ""Design"": 0.4, ""Process"": 0.2, ""Testing"": 0.2, ""Models & Methods"": 0.2}"
23,Construction; Design; Process; Foundations,"{""Construction"": 0.4, ""Design"": 0.6, ""Process"": 0.2, ""Foundations"": 0.2}"
24,Design; Construction,"{""Design"": 0.2, ""Construction"": 0.6}"
25,Construction; Models & Methods; Quality; Professional Practice/Ethics; Testing,"{""Construction"": 0.8, ""Models & Methods"": 0.2, ""Quality"": 0.2, ""Professional Practice/Ethics"": 0.2, ""Testing"": 0.2}"
26,Construction; Foundations; Requirements; Models & Methods,"{""Construction"": 0.5, ""Foundations"": 0.25, ""Requirements"": 0.25, ""Models & Methods"": 0.5}"
27,Design; Construction; Testing; Process,"{""Design"": 0.6666666666666666, ""Construction"": 0.6666666666666666, ""Testing"": 0.3333333333333333, ""Process"": 0.3333333333333333}"
28,Construction,"{""Construction"": 0.5}"
