Technique,Postings_with_Technique,Proportion,CI_low,CI_high
retrieval-augmented generation,51,0.739130435,0.62489202,0.828145804
safety,14,0.202898551,0.1248922,0.312242624
cost optimization,10,0.144927536,0.080670087,0.246637386
few-shot,10,0.144927536,0.080670087,0.246637386
prompt optimization,9,0.130434783,0.070165486,0.229685149
chain-of-thought,9,0.130434783,0.070165486,0.229685149
prompt refinement,9,0.130434783,0.070165486,0.229685149
hallucination,8,0.115942029,0.059934265,0.212459531
prompt tuning,6,0.086956522,0.04046307,0.177017051
zero-shot,4,0.057971014,0.02277202,0.139794425
jailbreak,2,0.028985507,0.007985035,0.099667735
red-teaming,2,0.028985507,0.007985035,0.099667735
in-context learning,2,0.028985507,0.007985035,0.099667735
prompt injection,2,0.028985507,0.007985035,0.099667735
chain of thought,1,0.014492754,0.002562859,0.077633073
self-consistency,1,0.014492754,0.002562859,0.077633073
guardrails,1,0.014492754,0.002562859,0.077633073
