Description,Job Title,Conpany,Size,Company Domain,What country is the job based in?
"About the job
In this hybrid role, you will blend traditional software engineering with natural language processing expertise to develop and maintain systems that leverage LLMs to solve real-world challenges in the restaurant tech domain. You'll collaborate with cross-functional teams to implement AI-driven features that support everything from customer service automation to order management, reporting, and staff training.

Essential Job Functions:

 Prompt Development & Optimization: Design, build, test, and refine prompts for AI tasks like Q&A, classification, extraction, and synthetic data creation
 Evaluation & Testing Build robust test suites using tools like CoVal, LangFuse, and Galileo to measure prompt accuracy, compliance, and performance at scale
 Performance Analysis & Improvement: Analyze prompt outputs using metrics, product feedback, and business goals. Iterate to maximize accuracy and reliability
 Collaboration: Work closely with operations, product, data science, and engineering teams to ensure prompts meet quality standards
 Model Adaptation: By understanding their unique behaviors, create effective prompts across different models (GPT, LLaMA, Gemini, and internally fine-tuned LLMs)
 End-to-End Ownership Drive prompts projects from planning to deployment, including monitoring and continuous improvement
 Team Leadership & Mentorship Lead a team of analysts, guiding their evaluations and data work to support prompt development. Mentor and collaborate with ops teams to ensure seamless integration of prompts into production

100% Remote

Minimum of three years of experience in the areas of AI, ML, NLP, and prompt engineering.

$125,000 to $160,000

Requirements

Requirements:

Strong Python programming skills
Solid data and computer science fundamentals
Experience with relational databases (e.g., MySQL, PostgreSQL, Oracle, MS SQL)
Hands-on development experience, preferably full-stack
Good data processing and testing skills
Ability to handle ambiguous problems and drive projects from start to finish
Strong problem-solving mindset with a drive to improve and optimize systems
Ability to use scientific and analytical approaches to measure and evaluate designs
Excellent communication skills
Bachelor's degree in Computer Science, Engineering, Mathematics, or a related field
Flexible to work US hours until at least 6 pm ET with a strong remote setup

Preferred Qualifications

Experience with multiple LLMs and tools like LangFuse and Galileo
Knowledge of cloud platforms (AWS, GCP, Azure, OpenStack) and tools like Docker and Kubernetes
Focus on scalability, performance, and cost optimization in cloud environments
Broad technical expertise across front-end and back-end systems
Familiarity with machine learning concepts and workflows
Master's or PhD in Computer Science, Engineering, Math, Physics, or related field

Benefits

Health Care Plan (Medical, Dental & Vision)
Retirement Plan (401k)
Life Insurance (Basic, Voluntary & AD&D)
Flexible Paid Time Off 
Family Leave (Maternity, Paternity)
Short Term & Long Term Disability
Training & Development
Work From Home
Stock Option Plan",Prompt Engineer,Checkmate,201–500 employees,Restaurants,United States
"About the job
Company 

Highmark Health

Job Description 

JOB SUMMARY

As a Prompt Engineer at Highmark, you will be at the epicenter of our AI revolution, shaping how our AI solutions understand and process business content to deliver high-quality, relevant, and accurate outputs. Your mastery of Large Language Models (LLMs) and prompt engineering will be crucial in driving innovation across our enterprise. You'll work hand-in-hand with AI engineers, data scientists, and business leaders to continuously improve the performance and capabilities of our AI-powered applications, impacting healthcare outcomes and user experiences. If you are passionate about responsible AI, this is the role for you.

ESSENTIAL RESPONSIBILITIES

Design, develop, and test various prompt engineering strategies to improve the quality and consistency of LLM outputs, using quantitative and qualitative metrics.
Conduct comprehensive prompt analysis to identify areas for optimization, including clarity, specificity, and bias mitigation.
Document best practices and guidelines for prompt engineering within the team, for example maintaining libraries of effective prompts and prompt templates for various applications.
Collaborate with engineers and researchers to integrate optimized prompts into our applications and pipelines.
Stay up-to-date with the latest advancements in prompt engineering.
Rapidly absorb stakeholder’s business processes, context, and data to be confident manipulating it and doing first pass accuracy assessment.
Providing and explaining reports regarding AI outcomes and performance 
Other duties as assigned or requested.

EXPERIENCE

Required

3 years of experience working with large datasets and performing qualitative and quantitative data analysis using SQL or similar.
1 year of Proven track record of successfully designing and implementing effective prompts for LLMs.
1 year of experience working with unstructured data and outputs.

Preferred

Experience collaborating with cross-functional teams (e.g., product managers, designers, clinicians) to translate business needs into effective prompts and AI solutions.
Familiarity with AI ethics principles and responsible AI development practices.
Experience with various AI model evaluation techniques (e.g., A/B testing, human evaluation).

SKILLS

Proficiency in designing and evaluating prompts for different tasks (e.g., text generation, question answering, code generation).
Excellent problem-solving and analytical skills.
Ability to work independently and as part of a team.
Ability to effectively communicate complex AI concepts to both technical and non-technical audiences.
Strong presentation skills to convey insights and recommendations to stakeholders
Commitment to staying up-to-date with the latest advancements in AI and related technologies.

EDUCATION

Required

Bachelor’s degree in Business, Computer Science, Data Science, or related field or relevant experience and/or education as determined by the company in lieu of bachelor's degree. 

Preferred

Specialized training or certifications in prompt engineering or related AI disciplines.

LICENSES or CERTIFICATIONS

Required

None

Preferred

None

Language (Other Than English)

None

Travel Required

Less than 25%

PHYSICAL, MENTAL DEMANDS and WORKING CONDITIONS

Position Type 

Office-Based 

Physical Work Site Required

Constantly

Disclaimer The job description has been designed to indicate the general nature and essential duties and responsibilities of work performed by employees within this job title. It may not contain a comprehensive inventory of all duties, responsibilities, and qualifications required of employees to do this job.

Compliance Requirement This job adheres to the ethical and legal standards and behavioral expectations as set forth in the code of business conduct and company policies.

As a component of job responsibilities, employees may have access to covered information, cardholder data, or other confidential customer information that must be protected at all times. In connection with this, all employees must comply with both the Health Insurance Portability Accountability Act of 1996 (HIPAA) as described in the Notice of Privacy Practices and Privacy Policies and Procedures as well as all data security guidelines established within the Company’s Handbook of Privacy Policies and Practices and Information Security Policy.

Furthermore, it is every employee’s responsibility to comply with the company’s Code of Business Conduct. This includes but is not limited to adherence to applicable federal and state laws, rules, and regulations as well as company policies and training requirements. 

Highmark Health and its affiliates prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities and prohibit discrimination against all individuals based on any category protected by applicable federal, state, or local law.

We endeavor to make this site accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact the email below.

For accommodation requests, please contact HR Services Online at HRServices@highmarkhealth.org

California Consumer Privacy Act Employees, Contractors, and Applicants Notice",Prompt Engineer - AI Innovation Catalyst,Highmark Health,"10,001+ employees",Hospitals and Health Care,United States
"About the job
When our square shaped burgers made their first sizzle on the scene more than 50 years ago, people knew our approach wasn’t like any other. Same goes for the way we support our employees. Our culture of openness, flexibility, and inclusiveness allows everybody to flourish in their own way. If you’re looking for a career where you can be part of the action as we continue to grow our iconic brand - We got you!


The Engineer will support Wendy’s digital transformation by developing, testing, and refining prompt-based interactions across FreshAI applications including chatbots, voice assistants, kiosks, and operational tools. The Engineer - Prompt Engineering contributes to the creation of high-quality, user-aligned AI responses that enhance both customer experience and operational efficiency. This role partners closely with cross-functional stakeholders and senior AI engineers to support the delivery of reliable, scalable, and ethical AI systems. The ideal candidate brings a mix of curiosity, linguistic sensitivity, and technical proficiency in prompt iteration and evaluation.


Responsibilities

Develop, test, and optimize prompts for AI models (e.g., GPT, LLaMA) to support customer and operational use cases. Evaluate AI-generated outputs for quality, tone, bias, and accuracy.
Conduct controlled experiments (A/B tests) and analysis to improve prompt design and model performance.
Collaborate with product managers, UX teams, and data scientists to align prompt behavior with user intent and business goals.
Assist in developing prompt engineering guidelines, reusable frameworks, and tools to ensure scalability across Wendy’s AI initiatives.
Contribute to operational projects by supporting project planning, testing design, and coordination of cross-functional teams as needed.
Keep up to date on industry trends and recommend solutions to meet business needs.
Document best practices and frameworks for effective prompt engineering.


Qualifications

BS in data science, computer science, statistics, Linguistics, AI, or a related field.
Minimum of 2 years of relevant experience in a commercial environment.
Previous experience in the food service or related industry is preferred.
Strong project management skills including the management of long duration, multi-functional engineering related projects.
Familiarity with programming languages like Python, JavaScript, or relevant AI development tools.
Ability to mentor junior team members related to technical skills and performance.
Ability to effectivly communicate complicated technical topics in a manner that is understood by non-technical team members.
Self-motivated, with the ability to manage own workload with minimal supervision.
Experience with A/B testing, data-driven analysis, and continuous optimization techniques.
Proficiency in AI tools, such as OpenAI’s GPT, BERT, LLaMA, or similar. Strong understanding of prompt design principles, language models, and conversational AI. Knowledge of ethical AI practices, content moderation, and bias mitigation.
Background in linguistics or cognitive science is a plus.


“Wendy’s was built on the premise, ""Quality is our Recipe®,"" which remains the guidepost of the Wendy's system. Today, Wendy's and its franchisees employ hundreds of thousands of people across more than 7,000 restaurants worldwide with a vision of becoming the world's most thriving and beloved restaurant brand.



The base pay range for this position is listed below. The base pay actually offered will take into account internal equity and budget for the open position and also may vary depending on the candidate’s job-related knowledge, skills, and experience, among other relevant factors. This range does not include an estimated value for any benefits, bonus, or other incentives that may be applicable based on position. * The target annual bonus for this role is 7.5% of annualized base salary, based on actual company and personal performance. 



Our square burgers make us different and so do our benefits! Our restaurant support roles are eligible for a wide array of benefits, including things such as parental leave, free EAP sessions, company 401k match and other great offerings. For more details about our benefits, including an overview of eligibility and terms for certain benefits, please visit our benefits website, www.wendysbenefits.com.*



NOTE: Wendy’s benefits, bonus, and other incentives are governed by the applicable legal plans and policies and, where appropriate, may be subject to Board approval an individual award agreement terms. Those documents supersede all other information regarding Wendy’s benefits, bonus, and other incentives. Wendy’s retains the right to amend or terminate its plans and policies at its sole discretion, in accordance with applicable plans, policies and laws.”


Education: Bachelor's Degree
Travel: 10%
Pay Range: $33 - $56 Hr.",Engineer - Prompt Engineering,The Wendy's Company,"10,001+ employees",Restaurants,United States
"About the job
Qventus is leading the transformation of healthcare operations. We enable hospitals to focus on what matters most: patient care. Our innovative solutions harness the power of machine learning, generative AI, and behavioral science to deliver exceptional outcomes and empower care teams to anticipate and resolve issues before they arise.

Our success in rapid scale across the globe is backed by some of the world's leading investors. At Qventus, you will have the opportunity to work with an exceptional, mission-driven team across the globe, and the ability to directly impact the lives of patients. We’re inspired to work with healthcare leaders on our founding vision and unlock world-class medicine through world-class operations.

As a Solutions Architect of Conversational AI & Prompt Engineering, you will lead the technical design, development, and optimization of AI-driven conversational agents, as well as contribute to broader prompt engineering across other use cases. This role requires expertise in designing robust conversational flows, implementing intent recognition systems, and structuring chatbot logic into modular and reusable components. The ideal candidate will collaborate with cross-functional teams, including data scientists, software engineers, and product managers, to create and maintain state-of-the-art conversational AI systems, ensuring high-quality, scalable, and intelligent chatbot experiences.

Key Responsibilities

 Conversational Logic & Prototypes
Design and implement AI conversational flow logic, considering potential disruptions, multiple conversation turns, and alternate conversation paths to ensure interactions are effective and meet user and business goals.
Create and manage dialogue state, entity extraction, and intent recognition models.
Build a scalable and reusable chatbot logic system using a modular design approach
 Technical Implementation & Development
Familiarity with conversation modeling techniques, including state machines, decision trees, and graph-based models.
Experience with LLM-based conversational AI, such as GPT, Claude, Gemini, and LLaMA
Ability to use frameworks like Dialogflow, Rasa, Amazon Lex, Langchain, and others to implement conversational AI solutions.
Integrate chatbots with databases, CRM systems, and enterprise APIs by collaborating with backend developers.
Enhance chatbot capabilities by writing custom scripts, API calls, and system integrations.
Develop and optimize intent classification models, slot-filling mechanisms, and context management strategies.
 Testing, Optimization, & Maintenance
Improve chatbot intent recognition and response generation through continuous training and tuning.
Optimize accuracy by analyzing user interactions, intent mismatches, and conversational breakdowns.
Develop and execute unit tests, regression tests, and A/B tests to improve chatbot performance.
Implement real-time monitoring, logging, and analytics to track performance and user satisfaction.
 Collaboration & Documentation
Collaborate with product teams to ensure chatbot functionalities align with business goals.
Work with software developers and data scientists to refine language models.
Document conversational logic, decision trees, and workflow diagrams for scalability and maintenance.


It’s a plus if you have

Experience with conversational AI voice systems
Strong understanding of vector databases, embeddings, and retrieval-based chatbot models.
Hands-on experience with embeddings, vector search, and RAG (Retrieval Augmented Generation).
Understanding of knowledge graphs and their application in chatbot workflows.
Experience using machine learning techniques for intent recognition and dialogue management.
Previous work with chatbot solutions in healthcare.


The salary range for this role is $120,000 to $200,000. Qventus salary bands represent market data across different geographies. We consider several factors when determining compensation, including location, skills and qualifications, and prior relevant experience. Salary is just one component of Qventus’ total package. Some of our key benefits and perks* include but are not limited to: Open Paid Time Off, paid parental leave, professional development, wellness, and technology stipends, generous employee referral bonus, and employee stock option awards.

We believe that diversity, equity, inclusion, and belonging are fundamental to improving healthcare and society, and that’s why we’re building a company that leads the way. We hold ourselves accountable to using fair hiring processes that mitigate the negative impacts of unconscious bias. We also work to ensure that people from underrepresented groups play meaningful roles on both sides of the interview table. We are an equal opportunity employer and give all qualified applicants consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Candidate information will be treated in accordance with our candidate privacy notice which can be found here: https://qventus.com/ccpa-privacy-notice/

Employment is contingent upon the satisfactory completion of our pre-employment background investigation and drug test.

Benefits and perks are subject to plan documents and may change at the company's discretion.","Solutions Architect, Conversational AI & Prompt Engineering","Qventus, Inc",51–200 employees,Hospitals and Health Care,United States
"About the job
Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco home, and has since grown to over 5 million hosts who have welcomed over 2 billion guest arrivals in almost every country across the globe. Every day, hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.

The Community You Will Join

The Community Support Platform (CSP) at Airbnb is a critical system that drives our customer support operations. CSP empowers Airbnb's global network of Community Support ambassadors, utilizing cutting-edge technology to deliver exceptional customer service with high efficiency.

As part of the CSP vision, the role focuses on crafting prompts for AI driven applications, designing workflows, shaping innovative backend systems and to revolutionize Airbnb's approach to customer service. Our Chatbot Product team is focused on providing a seamless user experience by combining AI capabilities with the expertise of our support ambassadors.

The Difference You Will Make

You will work with a team of talented and diverse software engineers to deliver innovative backend solutions and prompt systems that enhance AI-driven workflows for customer service. Utilizing your expertise, this role will involve designing efficient systems, tools, and actions to empower AI capabilities seamlessly. Each team member brings unique skills, thought leadership, and technical expertise to address these challenges.

A Typical Day

Collaborate cross-functionally with product, design, engineering, and data science teams to develop backend systems and enhance AI prompt effectiveness.
Drive the technical vision and strategy for workflow and backend optimization.
Be actively involved in designing and iterating on prompt engineering to fine-tune AI capabilities for customer service scenarios.
Lead and contribute to the full development cycle: technical design, implementation, testing, experimentation, and deployment.
Participate in code and design reviews, offering constructive feedback to improve technical quality.
Optimize system availability, performance, and scalability while pushing enhancements for improved efficiency.

Your Expertise

9+ years of software development experience in service-oriented architectures and backend development.
Experience in prompt engineering and integrating AI/LLM-driven solutions.
Expertise in workflow optimization and backend systems, with a focus on scalable and flexible architecture.
Proficiency in crafting backend systems focusing on technical quality, efficiency, and resilience.
Excellent collaboration and communication skills to work effectively across teams and domains.
Passion for agile development, system optimization, and team productivity enhancements.
Bachelor’s and/or Master’s/Ph.D. degree, preferably in Computer Science, or equivalent practical experience.

Your Location:

This position is US - Remote Eligible. The role may include occasional work at an Airbnb office or attendance at offsites, as agreed to with your manager. While the position is Remote Eligible, you must live in a state where Airbnb, Inc. has a registered entity. Click here for the up-to-date list of excluded states. This list is continuously evolving, so please check back with us if the state you live in is on the exclusion list. If your position is employed by another Airbnb entity, your recruiter will inform you what states you are eligible to work from.

Our Commitment To Inclusion & Belonging

Airbnb is committed to working with the broadest talent pool possible. We believe diverse ideas foster innovation and engagement, and allow us to attract creatively-led people, and to develop the best products, services and solutions. All qualified individuals are encouraged to apply.

We strive to also provide a disability inclusive application and interview process. If you are a candidate with a disability and require reasonable accommodation in order to submit an application, please contact us at: reasonableaccommodations@airbnb.com. Please include your full name, the role you’re applying for and the accommodation necessary to assist you with the recruiting process.

We ask that you only reach out to us if you are a candidate whose disability prevents you from being able to complete our online application.

How We'll Take Care Of You

Our job titles may span more than one career level. The actual base pay is dependent upon many factors, such as: training, transferable skills, work experience, business needs and market demands. The base pay range is subject to change and may be modified in the future. This role may also be eligible for bonus, equity, benefits, and Employee Travel Credits.

Pay Range

$204,000—$255,000 USD",Staff Prompt Engineer - Chatbot,Airbnb,"5,001–10,000 employees",Software Development,United States
"About the job
DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.


We are looking for a proficient Prompt Engineer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.


To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.


Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume work


Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance


Qualifications:
Fluency in English (native or bilingual level)
Proficient in either Python and/or JavaScript
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Previous experience as a Software Developer, Coder, Software Engineer, or Programmer


Note: Payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. This job is only available to those in the US, UK, Canada, Australia, or New Zealand. Those located outside of these countries will not see work or assessments available on our site at this time.",Prompt Engineer,DataAnnotation,"5,001–10,000 employees",,United States
"About the job
Senior Prompt Engineer



Location: New York, NY | Hybrid


About GNOMI:

GNOMI is building the future of real-time information. As a News AI Agent, GNOMI delivers personalized, intelligent news experiences by leveraging multiple LLMs, proprietary data pools, and agentic workflows. Our mission is to make accurate information move faster and smarter than ever before.


We're looking for a Senior Prompt Engineer to join our fast-growing AI team and push the boundaries of what intelligent agents can do. If you speak fluent LLM and can turn language into logic, this role is for you.


About the Role:

As Senior Prompt Engineer at GNOMI, you'll work at the cutting edge of natural language systems, designing, testing, and optimizing prompts that power our core News AI agent. You’ll collaborate across engineering, product, and editorial teams to ensure our AI delivers fast, contextual, and reliable insight in response to complex news and intelligence queries.


This is a hybrid role based in New York City, with flexibility and direct access to our leadership and technical teams.


Key Responsibilities:

Design and fine-tune prompts across GPT-4, Claude, and other foundation models to deliver precise, fact-aware outputs.
Build prompt frameworks that power our real-time news summarization, Q&A, search, and agent-based workflows.
Collaborate with product and engineering to integrate prompts into production pipelines and user interfaces.
Create prompt evaluation tools and workflows to monitor quality, tone, and factual clarity.
Develop internal libraries of reusable prompt components to accelerate experimentation and scale.
Stay ahead of LLM capabilities, jailbreak risks, and emerging prompt techniques to ensure robustness and safety.
Mentor junior team members and help build a best-in-class AI interaction layer.


Qualifications:

6+ years of experience working with LLMs or NLU/NLP systems; deep understanding of prompt engineering best practices.
Proven ability to design and optimize complex multi-shot and chain-of-thought prompts for real-world use cases.
Familiarity with LLM APIs (e.g., OpenAI, Anthropic, Mistral, Cohere) and fine-tuning or RAG pipelines.
Strong scripting or Python skills; ability to run tests, analyze outputs, and automate iterations.
Background in journalism, research, or real-time systems is a major plus.
Ability to think creatively and analytically about language, logic, and information accuracy.
Passion for fast news, clear communication, and building something with meaningful impact.


Why GNOMI:

GNOMI isn’t just another AI company; we’re redefining how factual clarity flows in an overloaded world. As Senior Prompt Engineer, you’ll shape the very voice of our News AI agent and help us build a platform trusted by analysts, executives, and the world’s most curious minds.


Compensation:

Salary Range: $127,000 – $182,000 (final offer based on experience and expertise).
Discretionary bonus.
Equity: Equity opportunities available as part of the total compensation package.
Benefits: Comprehensive health, dental, and vision insurance.",Prompt Engineer,GNOMI,11–50 employees," Technology, Information and Internet",United States
"About the job
Job Description: Prompt Engineer – Sales Simulations

Position: Prompt Engineer

Type: Full-time

Location: Remote (with potential client interactions)

Role Overview

We are seeking a Prompt Engineer with expertise in designing, testing, and refining chatbots tailored for sales training simulations. The ideal candidate has experience with complex prompts for AI systems, understands sales processes, and can translate business objectives into impactful AI-driven solutions. Fluency in English is essential, with proficiency in additional languages considered a strong advantage.

Key Responsibilities 

Prompt Development:
Design and optimize chatbot prompts that simulate realistic sales conversations aligned with client-specific sales processes and objectives. 
Integrate client training goals and evaluation criteria into chatbot interactions to ensure meaningful and actionable feedback. 
Customization & Feedback:
Adapt prompts to reflect industry-specific scenarios, focusing on healthcare sectors. 
Analyze chatbot performance and refine prompts based on feedback from client evaluations. 
Cross-functional Collaboration:
Work closely with clients, trainers, and subject matter experts to understand their requirements and align simulations with their training goals. 
Partner with the technical and product teams to ensure seamless integration and functionality of the chatbot. 
Innovation & Agility:
Stay updated on advancements in AI and prompt engineering to continuously improve and innovate our sales training solutions. 
Demonstrate agility in learning and applying new techniques to deliver high-quality results. 


Required Qualifications

Experience: Proven experience in designing effective prompts for AI chat systems, preferably in a sales training or customer interaction context. 
Languages: Fluency in English is mandatory; proficiency in other languages is a strong plus. 
Sales Knowledge: Familiarity with sales processes, training objectives, and evaluation frameworks. 
Problem-solving: Strong analytical skills to evaluate prompt performance and adapt strategies to meet client needs. 
Communication: Excellent communication skills to liaise with clients and internal teams effectively. 


If you are passionate about AI, have a knack for sales process alignment, and excel at creating engaging chatbot experiences, we would love to hear from you!",AI Prompt Engineer,Signify Technology,11–50 employees,,United States
"About the job
Who we are?

Join Seattle New Media, where innovation meets reliability. As one of Seattle’s premier low-code agencies, we’re at the forefront of delivering world-class website design and development solutions that empower leading global brands. Our specialties include crafting dynamic Webflow CMS sites, robust ecommerce platforms, and seamless integrations with leading low-code systems like Airtable, Xano, Bubble, and Integromat. With a keen eye for SEO and decades of combined experience in custom web design, development, and digital marketing, we create captivating websites that convert visitors into customers and fuel business growth. At Seattle New Media, we turn visions into digital masterpieces.

Why work with us?

100% Remote: Work from anywhere in the world, no office required.
Promote from Within: We prioritize internal growth and development.
Low-Stress Environment: Manageable workloads for a stress-free workday.
Work Independently: Embrace autonomy in how you work.
Friendly Team: Upholding a supportive and respectful work environment based on the golden rule.
Innovative Projects: Collaborate on cutting-edge digital solutions for global brands.

Employment Type: Full-Time

Overview

We are looking for an AI Prompt Engineer to join our dynamic team. In this role, you will be responsible for developing, testing, and optimizing AI prompts to improve the performance of AI models, particularly in natural language processing and generation. You will work closely with other team members to create high-quality prompts that drive innovation and enhance user experience.

Responsibilities

Develop and refine prompts to effectively interact with AI models, ensuring high-quality, accurate, and relevant responses.
Collaborate with AI researchers and developers to understand model capabilities and limitations, optimizing prompts for better model performance.
Test and evaluate AI responses, analyzing performance and identifying areas for improvement.
Stay up-to-date with the latest advancements in AI, natural language processing, and machine learning to improve prompt engineering techniques.
Contribute to the development of AI-driven applications and features, ensuring prompt-driven inputs lead to optimal outputs.
Document and standardize prompt engineering processes for consistency and future scalability.

Skills & Qualifications

Strong understanding of AI, machine learning, and natural language processing (NLP) concepts.
Experience with AI prompt engineering or related fields (e.g., chatbot development, language model fine-tuning).
Proficiency in programming languages such as Python, with a focus on AI-related libraries (e.g., TensorFlow, PyTorch, Hugging Face).
Familiarity with major AI language models (e.g., GPT, BERT) and how to optimize them for various applications.
Strong problem-solving skills and ability to think creatively to design effective prompts.
Excellent written and verbal communication skills to document and explain prompt strategies clearly.
Familiarity in AI model deployment.

Benefits

Permanent remote work

Skills: bert,chatbot development,gpt,natural language processing,ai prompt,hugging face,natural language processing (nlp),problem-solving,programming languages,ai prompt engineering,ai,language processing,prompt,tensorflow,python,communication,pytorch,machine learning",AI Prompt Engineer,Seattle New Media,11–50 employees,"Technology, Information and Internet",United States
"About the job
We are looking for an AI Prompt Engineer for a State client based out of NY.
This is a long term role.


Key Responsibilities:

Design, test, and refine prompts for various use cases, ensuring high-quality and consistent outputs from large language models (e.g., GPT, Claude, Gemini).
Analyze AI outputs to identify failure modes and develop strategies to mitigate them via prompt engineering, chaining, or other techniques.
Develop and maintain a library of optimized prompts for different tasks and domains.
Collaborate with engineering and product teams to integrate prompt solutions into user-facing applications and workflows.
Experiment with advanced prompt strategies, such as zero-shot, few-shot, chain-of-thought, retrieval-augmented generation (RAG), and system messages.
Conduct A/B tests and user studies to evaluate prompt effectiveness.
Document prompt development processes, best practices, and guidelines to enable scaling of prompt engineering work.
Stay up to date with the latest research and trends in generative AI, large language models, and prompt engineering.
Required Qualifications:

Bachelor’s degree in Computer Science, Linguistics, AI, Data Science, Human-Computer Interaction, or a related field (or equivalent practical experience).
Demonstrated experience with prompt engineering for large language models.
Strong understanding of natural language processing (NLP) concepts and LLM behavior.
Excellent analytical and problem-solving skills with attention to detail.
Ability to write clear, effective prompts for diverse use cases.
Familiarity with tools and APIs for interacting with LLMs (e.g., OpenAI, Anthropic, Google Vertex AI).
Experience with Python or another scripting language.
Strong communication skills and ability to collaborate cross-functionally.


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.",AI Prompt Engineer,"PruTech Solutions, Inc.","501–1,000 employees",,United States
